time,bpFront,bpBack,rawAccelX,rawAccelY,rawAccelZ,noGravAccelX,noGravAccelY,noGravAccelZ,worldAccelY,worldAccelX,worldAccelZ,yaw,pitch,roll,gravityX,gravityY,gravityZ,quaternionX,quaternionY,quaternionZ,quaternionW
12101,154,120,20,466,16180,4,230,7991,-11,0,7994,-0.058858324,0.001945598,0.02876519,0.001945548,0.028760448,0.999559343,0.014404297,-0.000549316,0.029418945,0.999450684
12201,160,156,30,534,16264,13,298,8075,-7,65,8080,-0.05873828,0.002065853,0.02876178,0.002065793,0.028756931,0.999555707,0.014404297,-0.000610352,0.02935791,0.999450684
12301,188,165,104,482,16396,87,245,8207,69,11,8210,-0.058738142,0.002069433,0.028883787,0.002069376,0.028878935,0.999553919,0.014465332,-0.000610352,0.02935791,0.999450684
12401,191,125,76,472,16382,59,236,8193,41,2,8196,-0.05873828,0.002065853,0.02876178,0.002065793,0.028756931,0.999555707,0.014404297,-0.000610352,0.02935791,0.999450684
12501,157,103,76,510,16404,59,273,8215,39,38,8219,-0.058738142,0.002069433,0.028883787,0.002069376,0.028878935,0.999553919,0.014465332,-0.000610352,0.02935791,0.999450684
12601,185,136,-22,426,16332,-38,189,8143,-52,-49,8144,-0.058616344,0.002067675,0.028883966,0.002067611,0.028879009,0.999550343,0.014465332,-0.000610352,0.029296875,0.999450684
12701,188,141,-38,486,16446,-55,249,8257,-73,6,8260,-0.058618106,0.002189682,0.028880395,0.002189614,0.028875433,0.999550223,0.014465332,-0.000671387,0.029296875,0.999450684
12801,149,138,-18,424,16366,-33,187,8177,-45,-52,8178,-0.058614582,0.001945668,0.028887538,0.001945607,0.028882585,0.999550402,0.014465332,-0.000549316,0.029296875,0.999450684
12901,178,138,56,554,16404,39,317,8215,17,80,8220,-0.058616344,0.002067675,0.028883966,0.002067611,0.028879009,0.999550343,0.014465332,-0.000610352,0.029296875,0.999450684
13001,177,95,96,514,16380,79,277,8191,59,43,8195,-0.058616344,0.002067675,0.028883966,0.002067611,0.028879009,0.999550343,0.014465332,-0.000610352,0.029296875,0.999450684
13101,144,127,68,454,16436,51,217,8247,35,-19,8249,-0.058494542,0.002065917,0.028884143,0.002065845,0.028879084,0.999546766,0.014465332,-0.000610352,0.02923584,0.999450684
13201,239,175,28,376,16398,11,139,8209,0,-98,8209,-0.058494542,0.002065917,0.028884143,0.002065845,0.028879084,0.999546766,0.014465332,-0.000610352,0.02923584,0.999450684
13301,206,134,18,466,16456,1,228,8267,-15,-12,8269,-0.058494411,0.002069482,0.02900615,0.002069414,0.029001087,0.999545038,0.014526367,-0.000610352,0.02923584,0.999450684
13401,218,130,82,454,16490,66,217,8301,51,-19,8303,-0.05849278,0.001943909,0.02888771,0.001943842,0.028882653,0.999546826,0.014465332,-0.000549316,0.02923584,0.999450684
13501,192,84,-52,466,16298,-68,228,8109,-84,-12,8111,-0.058494411,0.002069482,0.02900615,0.002069414,0.029001087,0.999545038,0.014526367,-0.000610352,0.02923584,0.999450684
13601,175,168,36,508,16294,19,270,8105,0,34,8109,-0.058494411,0.002069482,0.02900615,0.002069414,0.029001087,0.999545038,0.014526367,-0.000610352,0.02923584,0.999450684
13701,215,128,4,450,16406,-12,212,8217,-27,-28,8219,-0.058494411,0.002069482,0.02900615,0.002069414,0.029001087,0.999545038,0.014526367,-0.000610352,0.02923584,0.999450684
13801,172,136,-24,506,16336,-40,268,8147,-58,28,8150,-0.058494411,0.002069482,0.02900615,0.002069414,0.029001087,0.999545038,0.014526367,-0.000610352,0.02923584,0.999450684
13901,191,156,112,424,16424,95,185,8235,80,-50,8236,-0.058494277,0.002073047,0.029128158,0.002072982,0.02912309,0.99954325,0.014587402,-0.000610352,0.02923584,0.999450684
14001,184,98,16,426,16414,0,187,8225,-13,-53,8226,-0.058372475,0.002071274,0.029128335,0.002071202,0.029123165,0.999539673,0.014587402,-0.000610352,0.029174805,0.999450684
14101,168,122,-48,468,16326,-63,229,8137,-78,-12,8139,-0.0584925,0.00195104,0.029131724,0.001950979,0.029126659,0.999543309,0.014587402,-0.000549316,0.02923584,0.999450684
14201,132,103,36,502,16418,19,263,8229,0,23,8232,-0.058372475,0.002071274,0.029128335,0.002071202,0.029123165,0.999539673,0.014587402,-0.000610352,0.029174805,0.999450684
